#Digilent WaveForms Oscilloscope Acquisition
#Device Name: PlasmaStuff
#Serial Number: SN:210321A41FE0
#Date Time: 2018-11-27 16:29:38.254
#Sample rate: 40000Hz
#Samples: 8192
#Trigger: Source: Channel 2 Type: Edge Condition: Rising Level: 200 mV Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 2 V/div Offset: 8.6 V
#Channel 2: Range: 2 V/div Offset: 0 V

Time (s),Channel 1 (V),Channel 2 (V)
-0.097875000000000004,-7.6425447921680449,-0.43978235922224734
-0.097850000000000006,-7.6462176338000756,-0.44349974496912858
-0.097825000000000009,-7.6498904754321044,-0.44721713071600816
-0.097799999999999998,-7.6535633170641368,-0.45093451646289107
-0.097775000000000001,-7.6535633170641368,-0.45465190220977231
-0.097750000000000004,-7.6572361586961675,-0.45836928795665355
-0.097725000000000006,-7.6535633170641368,-0.45836928795665355
-0.097700000000000009,-7.6572361586961657,-0.46208667370353318
-0.097674999999999998,-7.6535633170641368,-0.46580405945041609
-0.097650000000000001,-7.6572361586961675,-0.46952144519729733
-0.097625000000000003,-7.6609090003281981,-0.46952144519729733
-0.097600000000000006,-7.6609090003281981,-0.47323883094417857
-0.097575000000000009,-7.6572361586961692,-0.47695621669105814
-0.097549999999999998,-7.6572361586961675,-0.48067360243794105
-0.097525000000000001,-7.6572361586961675,-0.48439098818482229
-0.097500000000000003,-7.6609090003281981,-0.48439098818482229
-0.097475000000000006,-7.6645818419602278,-0.48810837393170359
-0.097450000000000009,-7.6645818419602278,-0.49182575967858316
-0.097424999999999998,-7.6609090003281981,-0.49554314542546607
-0.0974,-7.6645818419602278,-0.49554314542546607
-0.097375000000000003,-7.6645818419602278,-0.50297791691922855
-0.097350000000000006,-7.6682546835922585,-0.50669530266610985
-0.097325000000000009,-7.6682546835922585,-0.50669530266610985
-0.097299999999999998,-7.6645818419602278,-0.51041268841299114
-0.097275,-7.6572361586961675,-0.51413007415987222
-0.097250000000000003,-7.6535633170641368,-0.51784745990675352
-0.097225000000000006,-7.6498904754321062,-0.52156484565363481
-0.097200000000000009,-7.6572361586961639,-0.52528223140051444
-0.097174999999999997,-7.6645818419602278,-0.52899961714739741
-0.09715,-7.6682546835922585,-0.52899961714739741
-0.097125000000000003,-7.6719275252242891,-0.53271700289427848
-0.097100000000000006,-7.6719275252242891,-0.53271700289427848
-0.097075000000000009,-7.6719275252242891,-0.53643438864115811
-0.097049999999999997,-7.6682546835922585,-0.54015177438804107
-0.097025,-7.6645818419602278,-0.54015177438804107
-0.097000000000000003,-7.6719275252242891,-0.54015177438804107
-0.096975000000000006,-7.6719275252242891,-0.53643438864115978
-0.096950000000000008,-7.6719275252242891,-0.53271700289427848
-0.096924999999999997,-7.6719275252242891,-0.53271700289427848
-0.0969,-7.6719275252242891,-0.52899961714739741
-0.096875000000000003,-7.6719275252242891,-0.52528223140051611
-0.096850000000000006,-7.6756003668563197,-0.52528223140051611
-0.096825000000000008,-7.6756003668563197,-0.52528223140051611
-0.096799999999999997,-7.6719275252242891,-0.52156484565363481
-0.096775,-7.6645818419602278,-0.52156484565363481
-0.096750000000000003,-7.6609090003281981,-0.51413007415987222
-0.096725000000000005,-7.6609090003281981,-0.51784745990675352
-0.096700000000000008,-7.6682546835922585,-0.51041268841299114
-0.096674999999999997,-7.6572361586961675,-0.51041268841298781
-0.09665,-7.6572361586961675,-0.50297791691922855
-0.096625000000000003,-7.6609090003281981,-0.50297791691922855
-0.096600000000000005,-7.6645818419602278,-0.49926053117234731
-0.096575000000000008,-7.6682546835922585,-0.49926053117234731
-0.096549999999999997,-7.6572361586961541,-0.4955431454254644
-0.096525,-7.6278534256399233,-0.49182575967858483
-0.096500000000000002,-7.6094892174797701,-0.48810837393170359
